        C-B            0       1       2       3
M-             4    0.70    0.00    0.00    0.00
M-            55    0.07    0.00    0.00    0.00
M-            65    0.05    0.00    0.00    0.00
M-            51    0.04    0.02    0.00    0.00
M-            37    0.03    0.00    0.00    0.00
M-            39    0.00    0.58    0.00    0.00
M-            81    0.00    0.17    0.00    0.00
M-            13    0.00    0.06    0.00    0.00
M-            96    0.00    0.03    0.00    0.00
M-            94    0.00    0.02    0.00    0.00
M-            16    0.00    0.01    0.00    0.00
M-             1    0.00    0.01    0.00    0.00
M-             0    0.00    0.00    0.46    0.00
M-            22    0.00    0.00    0.27    0.00
M-            75    0.00    0.00    0.08    0.00
M-            78    0.00    0.00    0.05    0.01
M-            44    0.00    0.00    0.00    0.73
M-            68    0.00    0.00    0.00    0.15
M-            40    0.00    0.00    0.00    0.03
M-           242    0.00    0.00    0.05    0.00
