%Pulse	Left IR	Front IR	Right IR
200	191	191	191
200	192	192	192
200	133	134	134
200	97	147	117
200	84	161	126
200	88	170	140
200	88	176	144
200	86	181	153
200	84	184	152
200	89	187	155
200	91	188	160
200	90	189	162
200	92	190	160
200	90	190	160
200	88	190	158
200	89	190	159
200	90	191	159
200	91	192	160
200	90	191	161
200	87	191	162
200	87	191	160
0	88	190	159
0	86	190	159
0	84	186	154
0	63	131	109
0	43	88	74
0	29	59	50
0	21	41	35
0	15	28	24
0	12	20	17
0	9	14	12
0	7	11	9
0	5	8	7
0	4	7	6
0	4	5	5
0	4	4	4
0	3	4	3
0	3	3	3
0	3	3	3
0	3	3	3
0	3	3	3
0	3	3	3
200	2	3	3
200	3	3	3
200	3	3	3
200	6	54	20
200	26	98	63
200	44	128	95
200	53	150	118
200	62	163	132
200	71	171	139
200	76	178	144
200	79	182	150
200	83	184	152
200	84	187	158
200	83	188	161
200	89	190	163
200	85	190	166
200	84	190	166
200	84	190	165
200	83	191	166
200	84	189	166
200	82	190	163
0	83	191	167
0	84	192	166
0	86	190	164
0	65	134	117
0	44	89	79
0	30	60	52
0	21	41	36
0	15	28	25
0	11	20	17
0	8	14	12
0	6	11	9
0	5	8	7
0	4	6	6
0	4	5	5
0	4	5	4
0	3	4	3
0	3	3	3
0	3	3	3
0	3	3	3
0	3	3	3
0	3	3	3
200	3	3	3
200	2	4	3
200	3	3	3
200	7	60	19
200	24	103	60
200	38	131	88
200	54	150	110
200	60	163	120
200	65	172	129
200	68	177	135
200	73	182	140
200	76	185	146
200	77	188	147
200	83	188	153
200	84	188	153
200	83	190	156
200	85	189	157
200	85	190	161
200	83	191	162
200	81	191	164
200	82	192	164
0	84	191	164
0	85	190	165
0	80	189	161
0	60	132	114
0	41	89	76
0	28	60	52
0	20	40	35
0	14	28	24
0	11	19	17
0	8	14	13
0	6	10	9
0	5	8	7
0	4	6	6
0	4	5	4
0	3	4	4
0	3	4	3
0	3	3	3
0	3	3	3
0	3	3	3
0	3	3	3
0	2	3	3
200	2	3	3
200	3	3	2
200	3	3	3
200	7	56	17
200	25	99	54
200	42	130	78
200	57	149	98
200	64	163	111
200	68	173	121
200	76	179	125
200	80	182	133
200	79	185	137
200	79	185	140
200	80	187	140
200	82	188	146
200	86	189	149
200	84	190	151
200	87	191	155
200	84	191	156
200	86	191	159
200	84	190	160
0	86	191	159
0	84	190	159
0	86	190	158
0	63	132	111
0	44	88	75
0	30	60	50
0	21	40	34
0	15	28	24
0	11	20	17
0	8	14	12
0	7	10	9
0	5	7	7
0	4	6	5
0	3	5	4
0	4	4	4
0	3	4	3
0	3	3	3
