#C-B	1_12	2_12	4_12	5_12	12_12	60_12	1_28	2_28	4_28	8_28	11_28	12_28	17_28	19_28	37_28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	0	0.833333	0	0.166667	0	0	0	0	0	0	0	0	0	0	0
400	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
600	0	1	0	0	0	0	0.818182	0.136364	0	0.0454545	0	0	0	0	0
800	0	1	0	0	0	0	0.166667	0.5	0	0.333333	0	0	0	0	0
1000	0	1	0	0	0	0	0.727273	0.181818	0	0	0	0	0.0909091	0	0
1200	0	1	0	0	0	0	0.5	0.25	0	0.0833333	0	0.166667	0	0	0
1400	0	1	0	0	0	0	0.5625	0.25	0.0625	0.0625	0	0.0625	0	0	0
1600	0	1	0	0	0	0	0.454545	0.454545	0	0	0	0	0	0.0909091	0
1800	0	1	0	0	0	0	0.25	0.6	0	0	0	0.1	0	0.05	0
2000	0	1	0	0	0	0	0.0909091	0.727273	0.0909091	0	0	0	0	0.0909091	0
2200	0	1	0	0	0	0	0	0.714286	0.142857	0.142857	0	0	0	0	0
2400	0	1	0	0	0	0	0.125	0.416667	0.166667	0	0	0.166667	0	0.125	0
2600	0	1	0	0	0	0	0.2	0.6	0.133333	0.0666667	0	0	0	0	0
2800	0	1	0	0	0	0	0	0.833333	0.0555556	0.0555556	0	0.0555556	0	0	0
3000	0	1	0	0	0	0	0	0.785714	0.0714286	0.0714286	0	0	0	0.0714286	0
3200	0	1	0	0	0	0	0	0.555556	0.222222	0.111111	0	0	0	0.111111	0
3400	0	1	0	0	0	0	0	0.789474	0.105263	0	0	0	0.0526316	0.0526316	0
3600	0	0.95	0.05	0	0	0	0	0.761905	0.047619	0.142857	0	0	0	0.047619	0
3800	0	0.913043	0.0869565	0	0	0	0.125	0.625	0.1875	0	0	0.0625	0	0	0
4000	0	1	0	0	0	0	0	0.428571	0.190476	0.047619	0.047619	0.142857	0	0.142857	0
4200	0	1	0	0	0	0	0	0.666667	0.0555556	0	0	0.222222	0	0.0555556	0
4400	0.04	0.96	0	0	0	0	0	0.52	0.12	0	0	0.32	0	0.04	0
4600	0	1	0	0	0	0	0.0666667	0.533333	0.133333	0.133333	0	0.133333	0	0	0
4800	0	1	0	0	0	0	0.0526316	0.473684	0.0526316	0	0	0.315789	0	0.105263	0
5000	0	0.944444	0	0.0555556	0	0	0	0.608696	0.0434783	0	0	0.217391	0	0.130435	0
5200	0	1	0	0	0	0	0	0.619048	0.142857	0	0.047619	0.190476	0	0	0
5400	0	0.962963	0.037037	0	0	0	0	0.764706	0	0.0588235	0	0.176471	0	0	0
5600	0	1	0	0	0	0	0.0526316	0.736842	0	0	0	0.157895	0	0.0526316	0
5800	0	1	0	0	0	0	0	0.631579	0.157895	0	0	0.105263	0	0.105263	0
6000	0	1	0	0	0	0	0	0.578947	0.105263	0	0	0.315789	0	0	0
6200	0	1	0	0	0	0	0.0588235	0.588235	0.117647	0	0	0.117647	0	0.117647	0
6400	0	0.952381	0	0.047619	0	0	0	0.818182	0.0454545	0	0	0.136364	0	0	0
6600	0.0526316	0.947368	0	0	0	0	0.0909091	0.409091	0	0	0.0454545	0.363636	0	0.0909091	0
6800	0	0.958333	0	0.0416667	0	0	0.0714286	0.5	0.0714286	0.0714286	0	0.214286	0	0.0714286	0
7000	0	1	0	0	0	0	0	0.705882	0.117647	0	0	0.117647	0	0.0588235	0
7200	0	1	0	0	0	0	0.0625	0.625	0.0625	0	0	0.25	0	0	0
7400	0	1	0	0	0	0	0.05	0.5	0.05	0.05	0	0.3	0	0.05	0
7600	0	0.95	0	0.05	0	0	0	0.565217	0.0434783	0	0	0.347826	0	0.0434783	0
7800	0	1	0	0	0	0	0.105263	0.421053	0.157895	0	0	0.263158	0	0.0526316	0
8000	0	0.913043	0.0869565	0	0	0	0	0.666667	0.133333	0	0	0.133333	0	0.0666667	0
8200	0	1	0	0	0	0	0.111111	0.555556	0.166667	0.0555556	0	0.0555556	0	0.0555556	0
8400	0.0454545	0.954545	0	0	0	0	0.0625	0.5	0.125	0	0	0.3125	0	0	0
8600	0	1	0	0	0	0	0	0.615385	0.0769231	0	0	0.0769231	0.0769231	0.0769231	0.0769231
8800	0	1	0	0	0	0	0	0.722222	0.0555556	0	0	0.111111	0	0.0555556	0.0555556
9000	0	1	0	0	0	0	0	0.266667	0.133333	0.0666667	0	0.266667	0	0.266667	0
9200	0	0.96	0	0.04	0	0	0	0.473684	0	0.0526316	0.105263	0.210526	0	0.105263	0.0526316
9400	0.0344828	0.931035	0	0	0	0.0344828	0	0.416667	0.166667	0	0	0.333333	0	0.0833333	0
9600	0	0.894737	0	0.0526316	0.0526316	0	0	0.611111	0.0555556	0.0555556	0	0.222222	0	0.0555556	0
9800	0	1	0	0	0	0	0	0.6875	0.0625	0.125	0	0.125	0	0	0
10000	0	1	0	0	0	0	0	0.526316	0.263158	0.0526316	0	0.105263	0	0.0526316	0
