#C-B	1_36	2_36	4_36	8_36	11_36	12_36	17_36	19_36	27_36	37_36
0	0	0	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0	0
400	0	0	0	0	0	1	0	0	0	0
600	0.166667	0	0	0	0	0.833333	0	0	0	0
800	0.2	0	0	0	0	0.8	0	0	0	0
1000	0.111111	0	0	0	0	0.888889	0	0	0	0
1200	0	0.0666667	0	0	0	0.933333	0	0	0	0
1400	0.0526316	0.263158	0	0	0	0.631579	0	0.0526316	0	0
1600	0.05	0.1	0	0	0	0.55	0	0.3	0	0
1800	0.0909091	0.227273	0	0	0.0909091	0.5	0	0.0909091	0	0
2000	0	0.4	0	0.0666667	0	0.466667	0	0.0666667	0	0
2200	0	0.0526316	0	0.105263	0	0.631579	0	0.210526	0	0
2400	0	0.25	0	0	0	0.45	0	0.3	0	0
2600	0	0.315789	0	0.0526316	0	0.473684	0	0.157895	0	0
2800	0	0.2	0	0.05	0	0.55	0	0.2	0	0
3000	0	0.190476	0	0.047619	0	0.714286	0	0.047619	0	0
3200	0.0526316	0.263158	0	0	0	0.684211	0	0	0	0
3400	0.0526316	0.157895	0	0.0526316	0	0.631579	0	0.105263	0	0
3600	0.0714286	0	0	0	0	0.857143	0	0.0714286	0	0
3800	0	0.190476	0	0	0	0.714286	0	0.0952381	0	0
4000	0	0.227273	0.0454545	0	0	0.590909	0.0454545	0.0909091	0	0
4200	0	0.0625	0.0625	0	0	0.75	0	0.125	0	0
4400	0	0.0416667	0.0416667	0	0.0416667	0.75	0.0416667	0.0833333	0	0
4600	0.0526316	0	0.0526316	0.0526316	0	0.631579	0.0526316	0.157895	0	0
4800	0.0555556	0.0555556	0	0	0	0.833333	0	0.0555556	0	0
5000	0	0.125	0	0	0	0.75	0	0.125	0	0
5200	0	0.0833333	0	0	0	0.75	0	0.166667	0	0
5400	0	0.142857	0	0	0	0.666667	0	0.190476	0	0
5600	0.0625	0.25	0	0	0	0.6875	0	0	0	0
5800	0.0666667	0.0666667	0	0.0666667	0	0.6	0	0.2	0	0
6000	0.0454545	0.0909091	0.0909091	0.0454545	0.0454545	0.545455	0	0.136364	0	0
6200	0	0.111111	0	0.111111	0	0.777778	0	0	0	0
6400	0	0.117647	0	0	0	0.764706	0	0.117647	0	0
6600	0	0.117647	0.0588235	0.0588235	0	0.705882	0	0.0588235	0	0
6800	0.0526316	0.157895	0	0	0	0.789474	0	0	0	0
7000	0.047619	0.047619	0.047619	0	0	0.714286	0	0.142857	0	0
7200	0	0.047619	0	0.047619	0	0.857143	0	0.047619	0	0
7400	0	0.125	0.0625	0	0	0.625	0	0.1875	0	0
7600	0	0	0	0	0	0.8125	0	0.1875	0	0
7800	0.0526316	0.0526316	0	0	0	0.842105	0	0.0526316	0	0
8000	0	0.0740741	0.111111	0	0	0.62963	0	0.185185	0	0
8200	0.133333	0	0.0666667	0	0	0.733333	0	0	0.0666667	0
8400	0	0.0588235	0	0.0588235	0.0588235	0.705882	0.0588235	0.0588235	0	0
8600	0	0.111111	0	0.0555556	0	0.777778	0	0.0555556	0	0
8800	0	0.0588235	0	0.0588235	0	0.588235	0	0.294118	0	0
9000	0	0.0769231	0.153846	0	0	0.769231	0	0	0	0
9200	0	0	0.0625	0	0	0.625	0	0.1875	0.0625	0.0625
9400	0	0.176471	0.0588235	0	0	0.647059	0	0.0588235	0.0588235	0
9600	0	0.222222	0	0	0	0.666667	0	0.111111	0	0
9800	0	0	0	0	0	0.785714	0	0.214286	0	0
10000	0	0.1875	0	0	0	0.75	0	0.0625	0	0
