#C-B	1_1	2_1	3_1	4_1	5_1	8_1	9_1	11_1	12_1	20_1	23_1	28_1	30_1	42_1	48_1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	0.444444	0.333333	0	0	0.111111	0	0	0	0	0	0	0	0	0	0
400	0.961538	0.0384615	0	0	0	0	0	0	0	0	0	0	0	0	0
600	0.875	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0
800	0.8	0.05	0	0	0	0.05	0	0.05	0.05	0	0	0	0	0	0
1000	0.888889	0	0.0277778	0	0	0	0	0.0277778	0.0555556	0	0	0	0	0	0
1200	0.904762	0	0.0238095	0	0	0	0	0	0.047619	0	0.0238095	0	0	0	0
1400	0.884615	0	0.0384615	0	0.0769231	0	0	0	0	0	0	0	0	0	0
1600	0.888889	0	0.037037	0	0	0	0	0	0.0740741	0	0	0	0	0	0
1800	0.931035	0	0	0	0	0	0	0	0	0	0	0	0.0689655	0	0
2000	0.875	0	0	0	0.0833333	0	0	0	0.0416667	0	0	0	0	0	0
2200	0.918919	0	0	0	0	0	0	0	0.0540541	0.027027	0	0	0	0	0
2400	0.878788	0	0	0	0	0	0	0.030303	0.0606061	0	0	0	0.030303	0	0
2600	0.923077	0	0	0	0	0	0	0	0.0769231	0	0	0	0	0	0
2800	0.965517	0	0.0344828	0	0	0	0	0	0	0	0	0	0	0	0
3000	0.974359	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0
3200	0.956522	0	0	0	0	0	0	0	0.0434783	0	0	0	0	0	0
3400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3600	0.892857	0	0	0	0	0	0	0	0.0714286	0	0	0	0.0357143	0	0
3800	0.969697	0	0	0	0	0	0	0	0.030303	0	0	0	0	0	0
4000	0.956522	0	0	0	0	0	0	0	0.0434783	0	0	0	0	0	0
4200	0.966667	0	0	0	0	0	0	0	0.0333333	0	0	0	0	0	0
4400	0.875	0	0	0	0.0625	0	0	0	0	0	0.03125	0.03125	0	0	0
4600	0.911765	0	0	0	0.0294118	0	0	0	0.0294118	0	0	0.0294118	0	0	0
4800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5200	0.961538	0	0	0	0	0	0	0	0	0	0.0384615	0	0	0	0
5400	0.941176	0	0	0	0	0	0	0	0	0	0	0.0588235	0	0	0
5600	0.956522	0	0	0	0	0	0	0	0	0	0	0	0	0.0434783	0
5800	0.972973	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0
6000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6200	0.931035	0	0	0	0	0	0	0	0	0	0	0	0.0344828	0.0344828	0
6400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6600	0.961538	0	0	0	0	0	0	0	0	0	0.0384615	0	0	0	0
6800	0.964286	0	0.0357143	0	0	0	0	0	0	0	0	0	0	0	0
7000	0.961538	0	0	0	0	0	0	0	0	0	0.0384615	0	0	0	0
7200	0.925926	0	0	0	0	0	0	0	0	0	0	0	0.037037	0.037037	0
7400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7600	0.962963	0	0	0	0	0	0	0	0	0	0	0	0	0.037037	0
7800	0.962963	0	0	0	0	0	0	0	0	0	0.037037	0	0	0	0
8000	0.969697	0	0	0	0	0	0	0	0	0	0	0.030303	0	0	0
8200	0.96	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0
8400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8600	0.962963	0	0	0	0	0	0	0	0	0	0	0	0.037037	0	0
8800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9200	0.96875	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0
9400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9600	0.9375	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0
9800	0.967742	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322581
10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
