#C-B	0_45	1_45	2_45	3_45
0	0	0	0	0
200	0	0	0	0
400	0	0	0	0
600	0.580645	0	0.419355	0
800	0.875	0	0.125	0
1000	0.428571	0.142857	0.285714	0.142857
1200	0.538462	0	0.461538	0
1400	0.5	0	0.5	0
1600	0.333333	0	0.666667	0
1800	0.6	0	0.4	0
2000	0.444444	0	0.555556	0
2200	0.5	0	0.5	0
2400	0.466667	0.0666667	0.4	0.0666667
2600	0.444444	0.111111	0.444444	0
2800	0.5625	0	0.4375	0
3000	0.461538	0.153846	0.384615	0
3200	0.55	0.05	0.4	0
3400	0.473684	0	0.421053	0.105263
3600	0.565217	0	0.434783	0
3800	0.588235	0	0.411765	0
4000	0.466667	0	0.466667	0.0666667
4200	0.625	0	0.3125	0.0625
4400	0.785714	0.0714286	0.0714286	0.0714286
4600	1	0	0	0
4800	0.681818	0	0.318182	0
5000	0.888889	0	0.111111	0
5200	0.384615	0.0769231	0.538462	0
5400	0.533333	0.0666667	0.4	0
5600	0.727273	0	0.272727	0
5800	0.333333	0.0833333	0.583333	0
6000	0.538462	0	0.461538	0
6200	0.666667	0	0.333333	0
6400	0.466667	0	0.533333	0
6600	0.733333	0.133333	0.133333	0
6800	0.666667	0.0833333	0.25	0
7000	0.47619	0.047619	0.47619	0
7200	0.619048	0	0.333333	0.047619
7400	0.222222	0.111111	0.666667	0
7600	0.6	0.05	0.35	0
7800	0.454545	0.181818	0.363636	0
8000	0.615385	0	0.384615	0
8200	0.5	0	0.5	0
8400	0.538462	0	0.461538	0
8600	0.555556	0	0.222222	0.222222
8800	0.6875	0	0.3125	0
9000	0.764706	0	0.235294	0
9200	0.75	0.0833333	0.166667	0
9400	0.7	0	0.3	0
9600	0.5	0.0714286	0.357143	0.0714286
9800	0.714286	0	0.285714	0
10000	0.8	0	0.2	0
