#C-B	1_1	8_1	24_1	33_1	45_1	97_1	98_1	128_1	315_1	413_1
0	0	0	0	0	0	0	0	0	0	0
200	0.133333	0.0666667	0.666667	0	0	0	0	0	0	0
400	0.657895	0.0263158	0.263158	0	0	0	0	0	0	0
600	0.7	0	0.2	0	0.1	0	0	0	0	0
800	0.727273	0	0.0909091	0.0909091	0	0	0	0	0	0
1000	0.820513	0	0.153846	0	0.025641	0	0	0	0	0
1200	0.863636	0	0.0681818	0.0454545	0.0227273	0	0	0	0	0
1400	0.69697	0	0.121212	0	0.030303	0	0	0	0	0
1600	0.774194	0	0.129032	0	0.0322581	0	0	0	0	0
1800	0.9	0	0.0333333	0	0	0	0	0	0	0
2000	0.7	0	0.2	0	0	0.0333333	0	0	0	0
2200	0.871795	0	0.0769231	0	0	0.025641	0	0	0	0
2400	0.878788	0	0.030303	0	0.030303	0.030303	0	0	0	0
2600	0.96	0	0.04	0	0	0	0	0	0	0
2800	0.823529	0	0.0882353	0.0294118	0	0.0294118	0	0	0.0294118	0
3000	0.745098	0	0.0784314	0	0.0980392	0.0196078	0	0	0.0392157	0
3200	0.594595	0	0	0.027027	0.324324	0	0	0	0	0
3400	0.75	0	0	0.0227273	0.227273	0	0	0	0	0
3600	0.675676	0	0	0	0.297297	0	0	0	0	0
3800	0.820513	0	0	0.025641	0.102564	0	0	0	0	0
4000	0.578947	0	0	0	0.289474	0	0	0	0.0263158	0
4200	0.74359	0	0	0	0.153846	0	0	0	0.025641	0.025641
4400	0.717949	0	0	0	0.128205	0	0.0512821	0	0.025641	0.0512821
4600	0.861111	0	0	0	0.111111	0	0	0	0	0.0277778
4800	0.641509	0	0	0	0.245283	0	0.0188679	0.0188679	0.0188679	0
5000	0.763158	0	0	0	0.184211	0	0	0.0526316	0	0
5200	0.694444	0	0	0	0.194444	0	0.0277778	0.0277778	0	0
5400	0.711111	0	0	0	0.2	0	0	0.0444444	0.0444444	0
5600	0.666667	0	0	0	0.212121	0.030303	0	0	0.030303	0
5800	0.72	0	0	0	0.14	0	0	0.08	0.02	0
6000	0.771429	0	0	0	0.171429	0	0	0.0285714	0	0
6200	0.642857	0	0.0238095	0	0.285714	0	0	0.047619	0	0
6400	0.766667	0	0	0	0.233333	0	0	0	0	0
6600	0.675676	0	0.0540541	0	0.216216	0	0	0	0.027027	0
6800	0.75	0	0	0	0.222222	0.0277778	0	0	0	0
7000	0.581395	0	0	0	0.325581	0.0232558	0	0	0	0
7200	0.543478	0	0.0434783	0	0.347826	0	0	0	0	0
7400	0.684211	0	0	0	0.157895	0.0263158	0	0.0526316	0	0
7600	0.619048	0	0.0238095	0	0.238095	0.0238095	0	0.0238095	0	0
7800	0.722222	0	0	0	0.222222	0	0	0	0.0277778	0
8000	0.727273	0	0.0454545	0	0.181818	0	0	0.0454545	0	0
8200	0.8	0	0	0	0.166667	0	0	0.0333333	0	0
8400	0.710526	0	0	0	0.210526	0	0	0.0263158	0	0.0526316
8600	0.684211	0	0.0263158	0	0.184211	0.0263158	0	0	0.0526316	0
8800	0.622222	0	0.0444444	0	0.222222	0	0	0.0222222	0.0222222	0.0444444
9000	0.642857	0	0	0	0.333333	0.0238095	0	0	0	0
9200	0.775	0	0	0	0.2	0	0	0	0	0
9400	0.76087	0	0	0	0.152174	0	0	0.0434783	0	0.0217391
9600	0.681818	0	0.0454545	0	0.204545	0.0454545	0	0	0	0.0227273
9800	0.731707	0	0	0.0243902	0.170732	0.0243902	0	0	0.0243902	0.0243902
10000	0.7	0	0	0	0.225	0	0	0.075	0	0
