#C-B	0_11	1_11	2_11	3_11
0	0	0	0	0
200	0	0	0	0
400	0	0	0	0
600	0	0	0	0
800	0	0	0	0
1000	0	0	0	0
1200	0	0	0	0
1400	0	0	0	0
1600	0	0	0	0
1800	0	0	0	0
2000	0	0	0	0
2200	0	0	0	0
2400	0	0	0	0
2600	0	0	0	0
2800	0	0	0	0
3000	0	0	0	0
3200	0	0	0.235294	0.764706
3400	0.285714	0	0.0714286	0.642857
3600	0.307692	0	0.269231	0.423077
3800	0.333333	0	0.47619	0.190476
4000	0.333333	0	0.333333	0.333333
4200	0.264706	0.264706	0.323529	0.147059
4400	0.264706	0.264706	0.264706	0.205882
4600	0.16	0.56	0.24	0.04
4800	0.4	0.371429	0.142857	0.0857143
5000	0.55	0.2	0.2	0.05
5200	0.238095	0.380952	0.238095	0.142857
5400	0.1875	0.5625	0.25	0
5600	0.583333	0.166667	0.166667	0.0833333
5800	0.166667	0.333333	0.333333	0.166667
6000	0.142857	0.428571	0.428571	0
6200	0.666667	0	0.166667	0.166667
6400	0.166667	0.5	0.166667	0.166667
6600	0	0.5	0.5	0
6800	0	0	1	0
7000	0.5	0	0.5	0
7200	0.166667	0.5	0.333333	0
7400	0.4	0	0.4	0.2
7600	0.5	0	0.5	0
7800	0	1	0	0
8000	0.375	0	0.625	0
8200	0.666667	0	0.333333	0
8400	0.5	0	0.333333	0.166667
8600	0	0.2	0.6	0.2
8800	0.166667	0.333333	0.5	0
9000	0	0.5	0.5	0
9200	0.333333	0.333333	0.333333	0
9400	0	0	0	1
9600	0	0	1	0
9800	0	0	1	0
10000	0	0	0	0
