#C-B	0_16	1_16
0	0	0
200	0	0
400	1	0
600	1	0
800	1	0
1000	1	0
1200	1	0
1400	1	0
1600	1	0
1800	1	0
2000	1	0
2200	1	0
2400	0.928571	0.0714286
2600	1	0
2800	1	0
3000	1	0
3200	0.933333	0.0666667
3400	1	0
3600	1	0
3800	1	0
4000	0.916667	0.0833333
4200	1	0
4400	1	0
4600	0	1
4800	1	0
5000	1	0
5200	1	0
5400	0	0
5600	0.75	0.25
5800	1	0
6000	1	0
6200	0.5	0.5
6400	0.666667	0.333333
6600	1	0
6800	0.666667	0.333333
7000	1	0
7200	0	0
7400	1	0
7600	1	0
7800	1	0
8000	0.75	0.25
8200	1	0
8400	1	0
8600	1	0
8800	1	0
9000	0.928571	0.0714286
9200	1	0
9400	1	0
9600	1	0
9800	0.944444	0.0555556
10000	1	0
