#C-B 0_1 1_1 2_1 3_1 0_2 1_2 2_2 3_2 0_4 1_4 2_4 3_4 0_5 2_5 3_5 0_7 1_7 0_8 1_8 2_8 3_8 0_9 2_10 3_10 0_11 1_11 2_11 3_11 0_12 1_12 2_12 3_12 1_14 0_15 1_15 2_15 3_15 0_17 1_17 2_17 3_17 0_18 0_19 1_19 2_19 3_19 0_20 0_21 1_21 2_21 1_22 2_24 3_24 0_27 1_27 2_27 2_29 3_29 1_31 0_32 1_32 2_33 0_34 2_37 0_39 1_39 0_40 3_40 3_41 3_45 2_47 0_48 0_49 0_50 2_52 0_55 0_58 3_60 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
200 0.03125 0.8125 0.0625 0.09375 0.0740741 0.222222 0.111111 0.592593 1 0 0 0 0 0 1 0 0 0.666667 0 0.333333 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
400 0 0.807018 0.0350877 0.157895 0.409091 0 0.0454545 0.545455 0 0 0 0 0 0 0 1 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
600 0.0925926 0.333333 0.574074 0 0.25 0 0.5 0.25 0.2 0 0.8 0 0 0 0 0 0 0.666667 0 0.333333 0 0 0 1 0 0 1 0 0 0 1 0 0 0.8 0 0.2 0 0.2 0 0.6 0.2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
800 0.3125 0.625 0.0625 0 0.0740741 0 0.333333 0.592593 0.666667 0 0.166667 0.166667 0 0 0 0 0 0.625 0.15625 0.21875 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0.666667 0 0.333333 0 0 0.333333 0 0.666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1000 0.258065 0.5 0.241935 0 0.03125 0.0625 0.28125 0.625 0.875 0 0.125 0 0 0 0 0 0 0.48 0.12 0.28 0.12 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0.6 0 0.4 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1200 0.36 0.453333 0.173333 0.0133333 0.0930233 0.0930233 0.162791 0.651163 0.3 0.1 0.5 0.1 0 0 0 0 0 0.470588 0.176471 0.235294 0.117647 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0.5 0 0.5 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1400 0.378049 0.439024 0.170732 0.0121951 0.02 0.12 0.32 0.54 0.75 0 0.25 0 0 0 0 0 0 0.666667 0.133333 0.2 0 0 0 0 0 0 0.666667 0.333333 0 0.0714286 0.928571 0 0 0.5 0.5 0 0 0.75 0 0.25 0 0 0 0.166667 0.833333 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1600 0.289855 0.550725 0.144928 0.0144928 0.0571429 0.0571429 0.4 0.485714 0.5 0 0.5 0 0 0 0 0 0 0.782609 0 0.0869565 0.130435 0 0 0 0 0 1 0 0 0.153846 0.846154 0 0 0 1 0 0 0 0 1 0 0 0 0 0.888889 0.111111 0 0.75 0.25 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1800 0.38806 0.447761 0.164179 0 0.0789474 0 0.578947 0.342105 0.2 0 0.8 0 0 0 0 0 0 0.785714 0.0357143 0.0357143 0.142857 0 0 0 0 0 1 0 0.117647 0 0.882353 0 0 0.333333 0.666667 0 0 0.7 0 0.3 0 0 0 0.375 0.5 0.125 0 0.333333 0.666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
