#C-B	0_9	1_9	2_9	3_9
0	0	0	0	0
200	0.4375	0	0	0.5625
400	0.666667	0	0.125	0.208333
600	0.857143	0	0.142857	0
800	0.84	0	0.08	0.08
1000	1	0	0	0
1200	0.875	0	0	0.125
1400	1	0	0	0
1600	0.823529	0	0.117647	0.0588235
1800	0.823529	0	0.0588235	0.117647
2000	0.923077	0	0	0.0769231
2200	0.8	0	0.133333	0.0666667
2400	0.95	0	0.05	0
2600	0.833333	0	0.166667	0
2800	0.958333	0	0.0416667	0
3000	0.928571	0	0.0714286	0
3200	0.909091	0	0.0454545	0.0454545
3400	1	0	0	0
3600	0.75	0	0	0.25
3800	1	0	0	0
4000	0.944444	0	0.0555556	0
4200	1	0	0	0
4400	1	0	0	0
4600	1	0	0	0
4800	1	0	0	0
5000	0.947368	0	0	0.0526316
5200	1	0	0	0
5400	1	0	0	0
5600	1	0	0	0
5800	1	0	0	0
6000	1	0	0	0
6200	1	0	0	0
6400	1	0	0	0
6600	1	0	0	0
6800	0.933333	0	0.0666667	0
7000	0.923077	0	0.0769231	0
7200	0.941176	0	0.0588235	0
7400	0.925926	0	0.0740741	0
7600	0.833333	0.0277778	0.138889	0
7800	1	0	0	0
8000	0.92	0.04	0.04	0
8200	0.954545	0	0.0454545	0
8400	0.9	0	0.1	0
8600	0.75	0.0833333	0.166667	0
8800	0.8125	0	0.1875	0
9000	0.85	0	0.15	0
9200	0.888889	0	0.111111	0
9400	0.727273	0	0.181818	0.0909091
9600	0.862069	0	0.137931	0
9800	0.941176	0	0.0588235	0
10000	0.894737	0	0.105263	0
