#C-B	0_5	1_5	2_5	3_5
0	0	0	0	0
200	0.703704	0.0740741	0.037037	0.185185
400	0.684211	0.105263	0.131579	0.0789474
600	0.818182	0.0909091	0	0.0909091
800	0.826087	0.0869565	0	0.0869565
1000	0.783784	0.0540541	0.0810811	0.0810811
1200	0.813953	0.0930233	0.0697674	0.0232558
1400	0.6875	0.125	0.09375	0.09375
1600	0.83871	0.0967742	0.0645161	0
1800	0.909091	0.030303	0.0606061	0
2000	0.636364	0.212121	0.0909091	0.0606061
2200	0.926829	0.0243902	0.0243902	0.0243902
2400	0.789474	0.105263	0.105263	0
2600	0.851852	0.037037	0.0740741	0.037037
2800	0.894737	0.0789474	0.0263158	0
3000	0.814815	0.0740741	0.0740741	0.037037
3200	0.810811	0.108108	0.0540541	0.027027
3400	0.808511	0.0638298	0.0638298	0.0638298
3600	0.769231	0.128205	0.0512821	0.0512821
3800	0.857143	0.0952381	0	0.047619
4000	0.674419	0.0232558	0.186047	0.116279
4200	0.733333	0.0666667	0.133333	0.0666667
4400	0.76087	0.0652174	0.130435	0.0434783
4600	0.871795	0.0512821	0.0512821	0.025641
4800	0.79661	0.0677966	0.101695	0.0338983
5000	0.772727	0.113636	0.0909091	0.0227273
5200	0.692308	0.102564	0.179487	0.025641
5400	0.784314	0.0588235	0.117647	0.0392157
5600	0.833333	0.0238095	0.0714286	0.0714286
5800	0.839286	0.0357143	0.107143	0.0178571
6000	0.897436	0.025641	0.0512821	0.025641
6200	0.765957	0.0425532	0.148936	0.0425532
6400	0.647059	0.117647	0.235294	0
6600	0.74359	0.102564	0.102564	0.0512821
6800	0.815789	0.0263158	0.157895	0
7000	0.636364	0.0727273	0.272727	0.0181818
7200	0.647059	0.137255	0.196078	0.0196078
7400	0.765957	0.0638298	0.170213	0
7600	0.648148	0.185185	0.12963	0.037037
7800	0.837209	0.0232558	0.116279	0.0232558
8000	0.744681	0.0638298	0.0638298	0.12766
8200	0.771429	0.0285714	0.171429	0.0285714
8400	0.767442	0.0465116	0.139535	0.0465116
8600	0.808511	0.106383	0.0638298	0.0212766
8800	0.764706	0.0784314	0.0784314	0.0784314
9000	0.632653	0.142857	0.163265	0.0612245
9200	0.787234	0.106383	0.0638298	0.0425532
9400	0.784314	0.0588235	0.156863	0
9600	0.803922	0.0392157	0.156863	0
9800	0.74	0.06	0.14	0.06
10000	0.765957	0.0851064	0.0638298	0.0851064
