#C-B	3_2	5_2	7_2	17_2	24_2	28_2	36_2	37_2	47_2
0	0	0	0	0	0	0	0	0	0
200	0.142857	0.428571	0.285714	0	0.142857	0	0	0	0
400	0	0	0	0	0	0.0294118	0.323529	0.294118	0
600	0	0	0	0	0	0.360656	0.0983607	0	0
800	0	0	0	0	0	0.1875	0.15625	0	0.03125
1000	0	0	0	0.0208333	0	0.229167	0.1875	0	0.0416667
1200	0	0	0	0.0784314	0	0.235294	0.294118	0	0.0196078
1400	0	0	0	0.0181818	0	0.290909	0.345455	0	0.0363636
1600	0	0	0	0.0363636	0	0.2	0.363636	0	0.0545455
1800	0	0	0	0.0625	0	0.3125	0.34375	0	0.015625
2000	0	0	0	0.1	0	0.22	0.3	0	0.1
2200	0	0	0	0.115385	0	0.269231	0.365385	0	0.0769231
2400	0	0	0	0.047619	0	0.380952	0.31746	0	0.0952381
2600	0	0	0	0.0769231	0	0.288462	0.365385	0	0.0576923
2800	0	0	0	0.0983607	0	0.295082	0.327869	0	0.0655738
3000	0	0	0	0.0222222	0	0.311111	0.466667	0	0.0666667
3200	0	0	0	0.0888889	0	0.2	0.422222	0	0.111111
3400	0	0	0	0.116667	0	0.316667	0.316667	0	0.0666667
3600	0	0	0	0.0566038	0	0.396226	0.264151	0	0.0377358
3800	0	0	0	0.137255	0	0.313726	0.411765	0	0.0392157
4000	0	0	0	0.0862069	0	0.362069	0.37931	0	0.0172414
4200	0	0	0	0.145833	0	0.375	0.333333	0	0.0625
4400	0	0	0	0.0769231	0	0.384615	0.369231	0	0.0307692
4600	0	0	0	0.111111	0	0.277778	0.351852	0	0.0555556
4800	0	0	0	0.1	0	0.316667	0.3	0	0.0666667
5000	0	0	0	0.0526316	0	0.403509	0.280702	0	0.0877193
5200	0	0	0	0.03125	0	0.328125	0.375	0	0.046875
5400	0	0	0	0.0727273	0	0.309091	0.381818	0	0.0727273
5600	0	0	0	0.153846	0	0.365385	0.307692	0	0.0576923
5800	0	0	0	0.12963	0	0.351852	0.277778	0	0.111111
6000	0	0	0	0.147541	0	0.311475	0.360656	0	0.0819672
6200	0	0	0	0.113208	0	0.320755	0.339623	0	0.0377358
6400	0	0	0	0.0517241	0	0.37931	0.293103	0	0.0689655
6600	0	0	0	0.0892857	0	0.392857	0.303571	0	0.0714286
6800	0	0	0	0.150943	0	0.264151	0.358491	0	0.0377358
7000	0	0	0	0.103448	0	0.293103	0.362069	0	0.0862069
7200	0	0	0	0.104167	0	0.333333	0.4375	0	0.0416667
7400	0	0	0	0.12963	0	0.37037	0.296296	0	0.12963
7600	0	0	0	0.0769231	0	0.353846	0.246154	0	0.107692
7800	0	0	0	0.09375	0	0.296875	0.296875	0	0.09375
8000	0	0	0	0.0819672	0	0.245902	0.442623	0	0.0819672
8200	0	0	0	0.105263	0	0.315789	0.263158	0	0.0877193
8400	0	0	0	0.0877193	0	0.280702	0.298246	0	0.0877193
8600	0	0	0	0.0576923	0	0.25	0.346154	0	0.115385
8800	0	0	0	0.0566038	0	0.339623	0.320755	0	0.0943396
9000	0	0	0	0.0625	0	0.3125	0.270833	0	0.0833333
9200	0	0	0	0.0612245	0	0.387755	0.326531	0	0.122449
9400	0	0	0	0.0769231	0	0.307692	0.435897	0	0.0769231
9600	0	0	0	0.115385	0	0.346154	0.346154	0	0.115385
9800	0	0	0	0.142857	0	0.285714	0.25	0	0.0535714
10000	0	0	0	0.137255	0	0.372549	0.313726	0	0.0392157
