#C-B	12_3	13_3	21_3	22_3	25_3	33_3	94_3
0	0	0	0	0	0	0	0
200	0.3	0.55	0	0	0.15	0	0
400	0.727273	0	0	0	0.242424	0	0
600	0.666667	0	0	0.166667	0	0	0.166667
800	0.764706	0	0	0	0	0	0.117647
1000	0.782609	0	0.0869565	0	0	0	0
1200	0.771429	0	0.114286	0	0	0.0285714	0
1400	0.931035	0	0.0344828	0	0	0.0344828	0
1600	0.652174	0	0.217391	0	0	0	0
1800	0.611111	0	0.277778	0	0	0	0
2000	0.36	0	0.52	0	0	0.04	0
2200	0.25	0	0.625	0	0	0.0625	0
2400	0.333333	0	0.555556	0	0	0	0
2600	0.26087	0	0.73913	0	0	0	0
2800	0.318182	0	0.545455	0	0	0	0
3000	0.733333	0	0.133333	0	0	0.0666667	0
3200	0.846154	0	0.0384615	0	0	0.0384615	0
3400	0.85	0	0	0.1	0	0.05	0
3600	0.833333	0	0	0.0416667	0	0	0
3800	0.851852	0	0	0.111111	0	0.037037	0
4000	0.705882	0	0	0.176471	0	0.0588235	0
4200	0.75	0	0	0.1875	0	0.03125	0
4400	0.833333	0	0	0.133333	0	0.0333333	0
4600	0.821429	0	0	0.107143	0	0.0714286	0
4800	0.96	0	0	0	0	0	0
5000	0.782609	0	0	0.0869565	0	0.0434783	0
5200	0.842105	0	0	0.0526316	0	0.105263	0
5400	0.84375	0	0	0.09375	0	0	0
5600	0.75	0	0	0.1	0	0.05	0
5800	0.607143	0	0	0.142857	0	0.178571	0
6000	0.882353	0	0	0.117647	0	0	0
6200	0.714286	0	0	0.107143	0	0.107143	0
6400	0.954545	0	0	0	0	0	0
6600	0.863636	0	0	0.0909091	0	0	0
6800	0.827586	0	0	0.0689655	0	0.0689655	0
7000	0.913043	0	0	0.0434783	0	0.0434783	0
7200	0.888889	0	0	0.0555556	0	0	0
7400	0.92	0	0	0.04	0	0	0
7600	0.952381	0	0	0.047619	0	0	0
7800	0.85	0	0	0.05	0	0.1	0
8000	0.821429	0	0	0.0714286	0	0	0
8200	0.884615	0	0	0.0384615	0	0.0769231	0
8400	0.814815	0	0	0.0740741	0	0.037037	0
8600	0.909091	0	0	0.0454545	0	0	0
8800	0.875	0	0	0.125	0	0	0
9000	0.913043	0	0	0.0869565	0	0	0
9200	0.862069	0	0	0.103448	0	0.0344828	0
9400	0.878788	0	0	0.030303	0	0.0606061	0
9600	0.730769	0	0	0.0769231	0	0.0769231	0
9800	0.75	0	0	0.15	0	0.05	0
10000	0.875	0	0	0.0416667	0	0.0416667	0
