#C-B	1_0	24_0	36_0	45_0	115_0	128_0	221_0	224_0	315_0
0	0	0	0	0	0	0	0	0	0
200	0.137931	0.362069	0.0344828	0	0	0	0	0	0
400	0.371429	0.157143	0.0285714	0	0	0	0	0	0
600	0.133333	0.0333333	0.1	0.3	0	0	0.0333333	0.0166667	0
800	0.338983	0.0338983	0.0677966	0.118644	0	0	0.0169492	0.0169492	0
1000	0.529412	0.0882353	0.0441176	0.0441176	0	0	0.0441176	0.0147059	0
1200	0.636364	0.0454545	0.0606061	0.106061	0	0	0.0151515	0	0
1400	0.464286	0.0714286	0.0714286	0.178571	0	0	0.0178571	0	0
1600	0.6	0.0888889	0.0222222	0.0888889	0	0	0.0222222	0.0222222	0.0222222
1800	0.591837	0.0204082	0	0.122449	0	0	0	0	0.0408163
2000	0.5	0.145833	0.0416667	0.0833333	0.0208333	0.0208333	0.0208333	0.0208333	0
2200	0.672727	0.0545455	0.0181818	0.109091	0.0181818	0	0.0181818	0	0
2400	0.673469	0.0408163	0.0612245	0.142857	0.0204082	0	0	0	0
2600	0.666667	0.102564	0.0512821	0.102564	0	0	0.0512821	0	0
2800	0.527273	0.127273	0.0909091	0.163636	0.0363636	0.0181818	0	0	0.0181818
3000	0.684211	0.0701754	0.0701754	0.105263	0.0175439	0	0	0	0.0350877
3200	0.489362	0.106383	0.0638298	0.234043	0.0212766	0	0.0212766	0.0212766	0
3400	0.702128	0.0638298	0.0212766	0.191489	0	0	0	0	0
3600	0.54902	0.0196078	0.0196078	0.254902	0	0.0588235	0	0	0
3800	0.611111	0.0555556	0	0.185185	0.037037	0	0.037037	0	0
4000	0.589744	0.102564	0.025641	0.179487	0	0	0	0	0.025641
4200	0.612245	0.0204082	0.0204082	0.204082	0.0408163	0.0204082	0	0.0204082	0.0204082
4400	0.603774	0.0377358	0.0377358	0.207547	0	0	0	0.0566038	0.0188679
4600	0.641509	0.0754717	0.0566038	0.150943	0.0188679	0.0377358	0	0	0
4800	0.53125	0.046875	0.046875	0.234375	0.03125	0.015625	0	0	0.015625
5000	0.591837	0.0816327	0.0408163	0.163265	0	0.0408163	0.0204082	0.0204082	0
5200	0.634146	0.121951	0.0243902	0.121951	0.0243902	0.0243902	0	0	0
5400	0.618182	0.0363636	0.0545455	0.145455	0.0181818	0.0363636	0	0	0.0363636
5600	0.589744	0.0769231	0	0.205128	0	0	0	0.0512821	0.025641
5800	0.711538	0.0769231	0.0192308	0.0769231	0.0192308	0.0769231	0	0	0.0192308
6000	0.642857	0.047619	0.0238095	0.166667	0.047619	0.0238095	0	0	0
6200	0.617021	0.0638298	0	0.255319	0	0.0425532	0	0	0
6400	0.589744	0.0512821	0.025641	0.179487	0.0512821	0	0	0	0
6600	0.565217	0.0869565	0.0434783	0.23913	0	0	0	0	0.0217391
6800	0.682927	0.0243902	0.0487805	0.195122	0	0	0	0	0
7000	0.604651	0.0232558	0	0.232558	0.0465116	0	0	0	0
7200	0.54	0.1	0.02	0.26	0.04	0	0	0	0
7400	0.702703	0.027027	0.0810811	0.0540541	0	0.0540541	0	0	0
7600	0.529412	0.0392157	0.0392157	0.235294	0.0392157	0.0392157	0	0	0
7800	0.72973	0	0.027027	0.135135	0.027027	0	0	0	0.027027
8000	0.622642	0.132075	0	0.150943	0	0.0377358	0	0	0
8200	0.595238	0.0952381	0.0238095	0.214286	0	0.0238095	0.0238095	0	0
8400	0.642857	0.0238095	0.0714286	0.166667	0.0238095	0.0238095	0	0	0
8600	0.642857	0.0714286	0.0238095	0.119048	0.0238095	0	0	0	0.047619
8800	0.571429	0.0612245	0.0408163	0.22449	0.0408163	0.0204082	0	0	0.0204082
9000	0.509434	0.0943396	0.0377358	0.245283	0.0188679	0	0	0.0188679	0
9200	0.666667	0.0208333	0.0416667	0.1875	0.0208333	0	0	0.0208333	0
9400	0.686275	0.0196078	0.0392157	0.137255	0.0392157	0.0392157	0.0196078	0	0
9600	0.653061	0.0816327	0.0204082	0.142857	0.0612245	0	0	0.0204082	0
9800	0.607843	0.0196078	0.0392157	0.196078	0.0196078	0	0	0.0196078	0.0196078
10000	0.622222	0.0222222	0.0444444	0.177778	0	0.0666667	0.0444444	0.0222222	0
