#C-B	15_0	23_0	47_0	49_0	67_0	110_0	138_0	443_0
0	0	0	0	0	0	0	0	0
200	0.166667	0.0555556	0	0	0	0	0	0
400	0.363636	0.181818	0	0.363636	0	0	0	0
600	0	0	0.0540541	0.459459	0.027027	0	0.0540541	0
800	0	0	0.125	0.6	0.025	0	0.1	0
1000	0	0	0.172414	0.310345	0.12069	0.0344828	0.0862069	0
1200	0	0	0.0392157	0.568627	0.0980392	0.0588235	0	0
1400	0	0	0.03125	0.625	0.0625	0.0625	0	0
1600	0	0	0.111111	0.481481	0.111111	0.0925926	0	0.0185185
1800	0	0	0.111111	0.533333	0.222222	0	0	0.0444444
2000	0	0	0.0487805	0.634146	0.121951	0.0731707	0	0
2200	0	0	0.0294118	0.647059	0.117647	0.0588235	0	0
2400	0	0	0	0.486486	0.216216	0.0540541	0	0.0810811
2600	0	0	0.128205	0.564103	0.0769231	0.025641	0	0
2800	0	0	0.142857	0.47619	0.142857	0.047619	0	0.0238095
3000	0	0	0.0444444	0.533333	0.155556	0.0444444	0	0.133333
3200	0	0	0.0857143	0.542857	0.2	0.0285714	0	0
3400	0	0	0.0350877	0.526316	0.105263	0.0877193	0	0.0526316
3600	0	0	0.0612245	0.632653	0.122449	0.0204082	0	0.0204082
3800	0	0	0.0697674	0.55814	0.116279	0.0465116	0	0.0930233
4000	0	0	0.0952381	0.595238	0.166667	0.047619	0	0
4200	0	0	0.1	0.475	0.275	0.05	0	0.025
4400	0	0	0.0714286	0.666667	0.0952381	0.0238095	0	0.047619
4600	0	0	0.075	0.675	0.175	0.025	0	0
4800	0	0	0.04	0.68	0.14	0.02	0	0
5000	0	0	0.0512821	0.692308	0.205128	0.025641	0	0
5200	0	0	0.0606061	0.787879	0.121212	0	0	0
5400	0	0	0.1	0.6	0.166667	0	0	0
5600	0	0	0.030303	0.575758	0.242424	0.030303	0	0
5800	0	0	0.025	0.6	0.275	0	0	0
6000	0	0	0.0731707	0.707317	0.170732	0	0	0
6200	0	0	0.025	0.675	0.125	0.025	0	0
6400	0	0	0.0882353	0.647059	0.176471	0	0	0
6600	0	0	0.0833333	0.666667	0.166667	0	0	0
6800	0	0	0.2	0.55	0.2	0	0	0
7000	0	0	0.0857143	0.685714	0.114286	0.0285714	0	0
7200	0	0	0.09375	0.6875	0.03125	0.03125	0	0
7400	0	0	0.146341	0.585366	0.170732	0	0	0
7600	0	0	0.102564	0.769231	0.0769231	0	0	0
7800	0	0	0.0588235	0.794118	0.0588235	0.0294118	0	0
8000	0	0	0.111111	0.611111	0.166667	0.0555556	0	0
8200	0	0	0.0789474	0.631579	0.184211	0	0	0
8400	0	0	0.0571429	0.657143	0.142857	0	0	0
8600	0	0	0.0857143	0.6	0.2	0.0285714	0	0
8800	0	0	0.0588235	0.764706	0.117647	0.0294118	0	0
9000	0	0	0.147059	0.705882	0.0588235	0.0294118	0	0
9200	0	0	0.025	0.85	0.1	0.025	0	0
9400	0	0	0.05	0.65	0.125	0.1	0	0
9600	0	0	0.0625	0.729167	0.104167	0.0208333	0	0
9800	0	0	0.146341	0.658537	0.097561	0.0243902	0	0
10000	0	0	0.12	0.8	0.04	0	0	0
