#C-B	13_2	16_2	17_2	21_2	28_2	29_2	36_2	48_2	52_2	78_2
0	0	0	0	0	0	0	0	0	0	0
200	0	0	0.25	0	0	0.125	0.375	0.125	0	0
400	0	0.0588235	0	0.0294118	0	0	0.558824	0	0	0
600	0.02	0.04	0	0.2	0	0.08	0.08	0.12	0.2	0
800	0	0.0454545	0	0.0909091	0.181818	0.0454545	0.272727	0.0454545	0.136364	0
1000	0.0232558	0.0697674	0	0.186047	0.116279	0.0465116	0.0465116	0	0.302326	0.0465116
1200	0	0.025641	0	0.230769	0.179487	0.102564	0.025641	0	0.230769	0.0512821
1400	0.0408163	0.0204082	0	0.387755	0.163265	0.0612245	0.0204082	0.0204082	0.183673	0.0204082
1600	0	0	0	0.413043	0.23913	0	0	0.0217391	0.130435	0.0652174
1800	0	0.0153846	0	0.307692	0.123077	0.0769231	0	0	0.184615	0.0615385
2000	0.108696	0.0652174	0	0.369565	0.108696	0.0217391	0	0	0	0.0652174
2200	0.181818	0.0227273	0	0.295455	0.204545	0.0227273	0	0	0	0.0681818
2400	0.127273	0.0181818	0	0.290909	0.254545	0.0545455	0	0.0181818	0	0.0545455
2600	0.0681818	0.0227273	0	0.431818	0.159091	0.0454545	0	0	0	0.0681818
2800	0.0185185	0.0185185	0	0.407407	0.259259	0	0	0.0185185	0	0.0555556
3000	0.136364	0.0454545	0	0.409091	0.159091	0.0227273	0	0	0	0
3200	0.025641	0.025641	0	0.538462	0.128205	0	0	0	0	0.102564
3400	0.105263	0.0175439	0	0.473684	0.105263	0.0175439	0	0	0	0.0350877
3600	0.0408163	0.0408163	0	0.469388	0.122449	0.0204082	0	0	0	0.0408163
3800	0.111111	0.0888889	0	0.4	0.133333	0.0444444	0	0	0	0.0444444
4000	0.142857	0.0816327	0	0.346939	0.183673	0.0204082	0	0.0204082	0	0.0612245
4200	0.122449	0.0204082	0	0.408163	0.163265	0.0408163	0	0.0204082	0	0.102041
4400	0.0909091	0.0727273	0	0.418182	0.2	0.0181818	0	0	0	0.0909091
4600	0.0769231	0	0	0.403846	0.192308	0.0769231	0	0	0	0.0961538
4800	0.105263	0.0526316	0	0.491228	0.0877193	0.0701754	0	0.0175439	0	0.0350877
5000	0.0727273	0.0363636	0	0.309091	0.2	0.0909091	0	0	0	0.109091
5200	0.101449	0.057971	0	0.463768	0.188406	0.0144928	0	0.0144928	0	0.057971
5400	0.0576923	0.0769231	0	0.423077	0.211538	0.0192308	0	0	0	0.0769231
5600	0.14	0.04	0	0.44	0.1	0.06	0	0	0	0.08
5800	0.169811	0.0566038	0	0.377358	0.245283	0.0188679	0	0	0	0.0377358
6000	0.210526	0.0175439	0	0.403509	0.140351	0.0350877	0	0	0	0.0877193
6200	0.0444444	0.0666667	0	0.4	0.155556	0	0	0	0	0.0888889
6400	0.0535714	0.0357143	0	0.428571	0.160714	0.0714286	0	0	0	0.0892857
6600	0.0338983	0.0338983	0	0.423729	0.20339	0	0	0	0	0.118644
6800	0.102041	0.0408163	0	0.510204	0.122449	0.0612245	0	0	0	0.0816327
7000	0.08	0.02	0	0.54	0.14	0.04	0	0	0	0.1
7200	0.0638298	0.0212766	0	0.468085	0.212766	0.0638298	0	0	0	0.0212766
7400	0.0862069	0	0	0.413793	0.189655	0.0517241	0	0	0	0.12069
7600	0.114286	0.0428571	0	0.485714	0.142857	0.0857143	0	0	0	0.0428571
7800	0.0655738	0.0327869	0	0.590164	0.114754	0.0327869	0	0	0	0.0491803
8000	0.138462	0.0615385	0	0.369231	0.2	0.0153846	0	0	0	0.0769231
8200	0.132075	0.0754717	0	0.377358	0.113208	0.0754717	0	0	0	0.113208
8400	0.0377358	0.0566038	0	0.471698	0.150943	0.0377358	0	0	0	0.113208
8600	0.0697674	0.0465116	0	0.395349	0.255814	0.0465116	0	0	0	0.0930233
8800	0.0677966	0.0169492	0	0.40678	0.288136	0.0677966	0	0	0	0.0847458
9000	0.0869565	0.108696	0	0.434783	0.130435	0.0652174	0	0	0	0.0434783
9200	0	0	0	0.375	0.325	0.075	0	0	0	0.075
9400	0.0857143	0.0571429	0	0.485714	0.0857143	0.0857143	0	0	0	0.0857143
9600	0.0952381	0.0238095	0	0.452381	0.142857	0.0238095	0	0	0	0.142857
9800	0.117647	0.0196078	0	0.392157	0.137255	0	0	0	0	0.137255
10000	0.166667	0.0208333	0	0.395833	0.166667	0	0	0	0	0.0833333
