#C-B	3_3	4_3	13_3	18_3	19_3	25_3
0	0	0	0	0	0	0
200	0.166667	0.277778	0	0	0.444444	0
400	0.785714	0	0	0	0.214286	0
600	0.454545	0	0	0	0	0
800	0.954545	0	0	0	0	0
1000	0.705882	0	0	0.117647	0	0
1200	0.827586	0	0	0.103448	0	0.0344828
1400	0.866667	0	0	0.0333333	0	0
1600	0.608696	0	0	0.0869565	0	0.0434783
1800	0.8	0	0.05	0	0	0
2000	0.586207	0	0.0344828	0.137931	0	0
2200	0.8	0	0	0.0285714	0	0
2400	0.78125	0	0	0.03125	0	0
2600	0.774194	0	0	0.0645161	0	0
2800	0.75	0	0	0.0714286	0	0
3000	0.837838	0	0	0.027027	0	0
3200	0.694444	0	0	0.138889	0	0.0555556
3400	0.72	0	0	0.08	0	0.04
3600	0.83871	0	0.0645161	0.0322581	0	0.0645161
3800	0.75	0	0	0.09375	0	0.09375
4000	0.925926	0	0	0	0	0.037037
4200	0.891892	0	0.027027	0.027027	0	0.027027
4400	0.677419	0	0	0.16129	0	0.0967742
4600	0.884615	0	0	0.0384615	0	0.0769231
4800	0.735294	0	0.0294118	0.176471	0	0.0294118
5000	0.862069	0	0	0	0	0.103448
5200	0.740741	0	0.111111	0.0740741	0	0
5400	0.878788	0	0	0.030303	0	0.030303
5600	0.756757	0	0	0.135135	0	0.027027
5800	0.731707	0	0	0.0731707	0	0.0487805
6000	0.8	0	0.04	0.08	0	0.04
6200	0.72973	0	0	0.0810811	0	0.108108
6400	0.794118	0	0.0294118	0.0882353	0	0.0294118
6600	0.793103	0	0	0.103448	0	0.0344828
6800	0.769231	0	0.025641	0.0512821	0	0
7000	0.866667	0	0	0.0666667	0	0
7200	0.857143	0	0	0	0	0.0357143
7400	0.892857	0	0.0357143	0.0357143	0	0
7600	0.68	0	0.04	0.08	0	0.12
7800	0.952381	0	0	0	0	0.047619
8000	0.709677	0	0.0322581	0.0645161	0	0.0967742
8200	0.820513	0	0.025641	0.0769231	0	0.025641
8400	0.842105	0	0	0.105263	0	0.0263158
8600	0.677419	0	0.129032	0.0645161	0	0.0322581
8800	0.866667	0	0.0666667	0.0333333	0	0
9000	0.75	0	0	0.09375	0	0.0625
9200	0.717949	0	0	0.0512821	0	0.0512821
9400	0.948718	0	0	0.025641	0	0.025641
9600	0.638889	0	0.0555556	0.0833333	0	0.0555556
9800	0.885714	0	0	0.0285714	0	0.0571429
10000	0.806452	0	0	0.0322581	0	0.0645161
