#C-B	2_0	4_0	9_0	11_0	12_0	16_0	19_0
0	0	0	0	0	0	0	0
200	0.222222	0	0.777778	0	0	0	0
400	0.16129	0.0322581	0.516129	0	0	0.290323	0
600	0	0	0.352941	0	0.294118	0.352941	0
800	0	0.0425532	0.446809	0.0425532	0.0425532	0.404255	0
1000	0	0.030303	0.454545	0.121212	0.030303	0.272727	0.0606061
1200	0	0	0.368421	0.0526316	0.0526316	0.447368	0.0526316
1400	0.0294118	0.0294118	0.382353	0	0.117647	0.382353	0.0588235
1600	0	0	0.4375	0.03125	0.0625	0.34375	0.0625
1800	0	0.0344828	0.482759	0.0344828	0.0689655	0.275862	0
2000	0	0.0333333	0.4	0	0.1	0.366667	0.0666667
2200	0	0.0555556	0.333333	0.0277778	0.0277778	0.416667	0.111111
2400	0	0	0.475	0.075	0.05	0.325	0
2600	0	0.027027	0.27027	0.108108	0.108108	0.378378	0.027027
2800	0	0.025641	0.589744	0.0512821	0.0512821	0.25641	0.025641
3000	0	0.0689655	0.448276	0.0689655	0.103448	0.206897	0.103448
3200	0	0	0.47619	0	0.119048	0.333333	0
3400	0	0.0227273	0.386364	0.113636	0.0227273	0.386364	0.0454545
3600	0	0.0555556	0.166667	0.194444	0	0.527778	0.0277778
3800	0	0.105263	0.5	0.0263158	0	0.263158	0.0526316
4000	0	0.0294118	0.5	0.117647	0	0.323529	0.0294118
4200	0	0.0588235	0.794118	0	0	0.0588235	0.0588235
4400	0	0.0540541	0.648649	0.108108	0.027027	0.0810811	0.0810811
4600	0	0.0571429	0.628571	0.0571429	0.114286	0	0.114286
4800	0	0.0731707	0.585366	0.0731707	0	0.0731707	0.195122
5000	0	0.142857	0.642857	0	0	0.0357143	0.107143
5200	0	0.030303	0.606061	0.151515	0.0606061	0.030303	0.121212
5400	0	0.0645161	0.516129	0.129032	0.0967742	0	0.193548
5600	0	0.0555556	0.666667	0.0277778	0.0277778	0.0833333	0.0833333
5800	0	0.0769231	0.615385	0.128205	0.025641	0.0769231	0.0512821
6000	0	0.0408163	0.632653	0.0408163	0.0612245	0.122449	0.0612245
6200	0	0.175	0.5	0.05	0	0.05	0.15
6400	0	0.0789474	0.657895	0.0526316	0	0.0526316	0.105263
6600	0	0.0789474	0.605263	0.131579	0	0.0789474	0.105263
6800	0	0.0243902	0.682927	0.0487805	0	0.0487805	0.146341
7000	0	0	0.727273	0.0606061	0.030303	0.0606061	0.0909091
7200	0	0	0.8	0.025	0.025	0	0.1
7400	0	0.030303	0.757576	0.0909091	0	0.030303	0.0606061
7600	0	0	0.75	0.05	0.025	0.075	0.075
7800	0	0	0.738095	0.0714286	0.0238095	0.0238095	0.142857
8000	0	0	0.621622	0	0	0.0810811	0.243243
8200	0	0.030303	0.636364	0	0.030303	0.151515	0.030303
8400	0	0.025641	0.461538	0.0769231	0.025641	0.282051	0.102564
8600	0	0	0.310345	0.137931	0	0.482759	0.0344828
8800	0	0.05	0.325	0.025	0.05	0.4	0.1
9000	0	0.0512821	0.435897	0.025641	0.0769231	0.333333	0.0769231
9200	0	0.0217391	0.347826	0.0434783	0.0217391	0.434783	0.130435
9400	0	0	0.32	0.04	0.08	0.32	0.2
9600	0	0	0.641026	0	0.025641	0.230769	0.0769231
9800	0	0	0.372093	0	0	0.395349	0.162791
10000	0	0.0666667	0.377778	0.155556	0	0.333333	0.0222222
