#C-B	0_0	1_0	2_0	3_0	4_0	6_0	7_0	8_0	9_0	10_0	11_0	12_0	13_0	14_0	15_0	16_0	17_0	18_0	20_0	21_0	23_0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	0.2	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	0	0.153846	0.461538	0.307692	0	0.0769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600	0	0.0833333	0.138889	0.194444	0	0.416667	0.111111	0.0555556	0	0	0	0	0	0	0	0	0	0	0	0	0
800	0.0222222	0.0222222	0.422222	0.2	0	0.0444444	0.222222	0.0666667	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	0	0.0526316	0.105263	0.236842	0.0789474	0.105263	0.236842	0.105263	0	0	0	0	0	0	0	0	0	0	0	0	0
1200	0	0	0.075	0.125	0.325	0.05	0.175	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
1400	0.128205	0.153846	0.102564	0.0769231	0.307692	0.025641	0	0.0512821	0.0512821	0	0	0	0	0	0	0	0	0	0	0	0
1600	0.0638298	0.0425532	0.0212766	0.148936	0.106383	0	0.0425532	0.0638298	0.170213	0.234043	0	0	0	0	0	0	0	0	0	0	0
1800	0.148148	0.0185185	0	0	0.12963	0.0555556	0.0185185	0.148148	0.203704	0.259259	0	0	0	0	0	0	0	0	0	0	0
2000	0.0425532	0.0425532	0	0.0638298	0.191489	0.0212766	0.0425532	0.0851064	0.234043	0.255319	0	0	0	0	0	0	0	0	0	0	0
2200	0.0185185	0.0185185	0	0.0740741	0.148148	0.0185185	0	0.333333	0.222222	0.166667	0	0	0	0	0	0	0	0	0	0	0
2400	0.0425532	0.0212766	0.0212766	0.106383	0	0.0212766	0.106383	0.404255	0.0851064	0.170213	0	0	0	0	0	0	0	0	0	0	0
2600	0.0588235	0.0196078	0.0392157	0.0196078	0.0784314	0	0.0392157	0.333333	0.156863	0.176471	0	0	0	0	0	0	0	0	0	0	0
2800	0.0566038	0	0	0.0566038	0.0188679	0.0377358	0.0377358	0.301887	0.245283	0.245283	0	0	0	0	0	0	0	0	0	0	0
3000	0.0169492	0.0169492	0.0338983	0	0.0677966	0.0169492	0.0847458	0.271186	0.20339	0.237288	0	0.0338983	0	0	0	0	0	0	0	0	0
3200	0.0217391	0	0.0217391	0.0217391	0.0652174	0.0434783	0.0652174	0.195652	0.195652	0.130435	0	0.173913	0	0	0	0	0	0	0	0	0
3400	0.155556	0.0444444	0.0222222	0.0222222	0.0444444	0.0222222	0.0888889	0.0666667	0.155556	0.0444444	0.0888889	0.222222	0.0222222	0	0	0	0	0	0	0	0
3600	0.0454545	0	0.0227273	0.0227273	0.0454545	0.0454545	0.0681818	0.0909091	0.113636	0.136364	0.181818	0.0227273	0.204545	0	0	0	0	0	0	0	0
3800	0.0227273	0	0.0227273	0.0227273	0.0681818	0	0.0227273	0.0909091	0.0681818	0.0909091	0.159091	0.159091	0.0909091	0.181818	0	0	0	0	0	0	0
4000	0.0227273	0.0227273	0.0454545	0.0227273	0.0681818	0.0454545	0.113636	0.0681818	0.0454545	0.0909091	0.159091	0.113636	0.0454545	0.136364	0	0	0	0	0	0	0
4200	0	0	0.0243902	0.097561	0.0243902	0	0.0487805	0.121951	0.0243902	0.0731707	0.219512	0.097561	0.0731707	0.170732	0	0	0	0	0	0	0
4400	0	0	0.0652174	0.0652174	0	0.0434783	0.0217391	0.0869565	0.0217391	0.195652	0.195652	0.0434783	0.0869565	0.173913	0	0	0	0	0	0	0
4600	0.0444444	0	0.0666667	0	0.0666667	0	0.0666667	0.111111	0.0222222	0.0666667	0.0888889	0.111111	0.2	0.155556	0	0	0	0	0	0	0
4800	0	0	0	0	0.0408163	0	0.0612245	0.122449	0.0204082	0.0816327	0.285714	0.0612245	0.142857	0.122449	0	0.0612245	0	0	0	0	0
5000	0.0204082	0	0.0408163	0.0204082	0.0204082	0.0204082	0	0.0612245	0.0204082	0.0816327	0.22449	0.0612245	0.0408163	0.285714	0	0.102041	0	0	0	0	0
5200	0.111111	0	0.0222222	0.0222222	0	0.0222222	0	0.0888889	0	0.0222222	0.111111	0	0.0444444	0.244444	0	0.2	0.0222222	0.0666667	0	0	0
5400	0	0	0.0217391	0	0	0.0217391	0	0.108696	0	0	0.0652174	0.0217391	0.0652174	0.173913	0.0869565	0.130435	0.152174	0.152174	0	0	0
5600	0.0212766	0	0.0212766	0	0.0212766	0	0	0.0638298	0	0.0212766	0.148936	0.0212766	0.0425532	0.170213	0.12766	0.148936	0.148936	0.0425532	0	0	0
5800	0.0196078	0	0	0	0	0.0196078	0	0.0196078	0.0196078	0	0.0196078	0.0588235	0	0.117647	0.254902	0.176471	0.196078	0.0980392	0	0	0
6000	0.0196078	0.0196078	0	0	0.0196078	0	0.0196078	0.0392157	0	0.0196078	0.0196078	0	0.0784314	0.117647	0.215686	0.117647	0.235294	0.0784314	0	0	0
6200	0.0377358	0.0188679	0.0377358	0	0	0	0	0.0943396	0.0188679	0.0377358	0.0754717	0.0188679	0.0754717	0.0754717	0.283019	0.0377358	0.0754717	0.113208	0	0	0
6400	0.0612245	0	0	0	0	0.0204082	0	0.102041	0	0.0612245	0.0204082	0.0204082	0.0204082	0.102041	0.204082	0.142857	0.142857	0.102041	0	0	0
6600	0.025641	0.025641	0	0	0.0512821	0	0	0	0.025641	0.0512821	0	0.025641	0.0769231	0.153846	0.25641	0.102564	0.153846	0.0512821	0	0	0
6800	0	0	0.0227273	0	0	0	0	0.0681818	0	0.0454545	0	0	0.0454545	0.227273	0.318182	0.0454545	0.0909091	0.136364	0	0	0
7000	0	0	0	0	0	0.037037	0	0.0555556	0.0185185	0.0185185	0.0185185	0	0.0555556	0.111111	0.351852	0.037037	0.166667	0.0925926	0.037037	0	0
7200	0.0384615	0	0.0384615	0	0	0.0192308	0	0.0192308	0	0.0192308	0.0192308	0.0384615	0.0192308	0.134615	0.153846	0.0769231	0.0769231	0.134615	0.192308	0	0
7400	0.0172414	0	0	0	0	0	0	0.0344828	0	0.0344828	0.0344828	0.0344828	0.0172414	0.103448	0.206897	0.0862069	0.12069	0.103448	0.206897	0	0
7600	0	0	0	0.0175439	0	0.0175439	0	0.0175439	0	0.0350877	0.0175439	0.0877193	0.0350877	0.140351	0.175439	0.0350877	0.122807	0.0877193	0.210526	0	0
7800	0	0	0	0	0	0	0	0	0	0.0192308	0	0.0961538	0	0.0961538	0.192308	0.0576923	0.153846	0.134615	0.25	0	0
8000	0	0	0	0	0	0	0	0	0	0.0175439	0.0526316	0.0877193	0	0.0877193	0.140351	0.0701754	0.140351	0.122807	0.280702	0	0
8200	0	0	0	0	0	0	0	0.0151515	0	0	0.030303	0.0454545	0	0.0606061	0.181818	0.0757576	0.0909091	0.151515	0.333333	0	0
8400	0	0	0	0	0	0.0204082	0	0	0	0	0.0612245	0.0816327	0.0408163	0.0408163	0.22449	0.0408163	0.142857	0.102041	0.244898	0	0
8600	0	0.0212766	0	0	0	0	0.0212766	0	0	0.0425532	0	0.106383	0.0212766	0.0425532	0.297872	0	0.0638298	0.106383	0.276596	0	0
8800	0.0178571	0	0	0	0	0	0	0.0178571	0.0178571	0.0178571	0.0178571	0.0178571	0.0178571	0.0357143	0.321429	0.0535714	0.0892857	0.107143	0.267857	0	0
9000	0	0	0	0	0	0	0.0172414	0	0.0172414	0	0	0.0689655	0	0.0344828	0.310345	0.0344828	0.155172	0.0862069	0.258621	0	0
9200	0	0	0	0	0	0	0	0	0	0	0.0151515	0.0151515	0	0.030303	0.287879	0.0151515	0.151515	0.151515	0.318182	0.0151515	0
9400	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.291667	0.0416667	0.125	0.125	0.270833	0.0208333	0
9600	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.08	0.26	0	0.02	0.1	0.36	0.08	0
9800	0	0	0.0185185	0	0	0	0	0	0	0	0	0.0555556	0	0.037037	0.277778	0.0555556	0.0740741	0.0925926	0.222222	0.111111	0.0555556
10000	0	0	0	0.0188679	0	0	0	0	0	0	0	0	0	0.0566038	0.169811	0	0.0754717	0.0754717	0.207547	0.132075	0.264151
