#C-B	4_2	8_2	9_2	12_2	14_2	26_2	45_2	50_2
0	0	0	0	0	0	0	0	0
200	1	0	0	0	0	0	0	0
400	0.703704	0	0.111111	0.111111	0.0740741	0	0	0
600	0.655738	0	0.0163934	0.0983607	0.229508	0	0	0
800	0.7	0	0.0666667	0.2	0	0.0333333	0	0
1000	0.540541	0	0	0.351351	0.027027	0.0540541	0	0
1200	0.75	0	0	0.227273	0.0227273	0	0	0
1400	0.818182	0	0	0.181818	0	0	0	0
1600	0.886364	0	0.0454545	0.0454545	0.0227273	0	0	0
1800	0.911765	0	0.0294118	0.0588235	0	0	0	0
2000	0.825	0	0	0.125	0.025	0	0	0.025
2200	0.578947	0	0.0526316	0.210526	0.0526316	0	0	0.0789474
2400	0.595745	0.0212766	0.0212766	0.297872	0	0	0.0212766	0
2600	0.574074	0	0.037037	0.259259	0.0925926	0	0	0
2800	0.612245	0	0.0204082	0.306122	0	0	0.0408163	0
3000	0.413043	0	0.0217391	0.5	0.0434783	0	0	0
3200	0.488372	0	0.0232558	0.44186	0	0	0.0232558	0.0232558
3400	0.52	0.02	0	0.38	0.02	0	0	0.02
3600	0.577778	0	0	0.266667	0.0222222	0	0.0222222	0.0444444
3800	0.520833	0	0	0.354167	0	0	0.0416667	0.0625
4000	0.583333	0.0208333	0.0208333	0.270833	0.0416667	0	0.0416667	0
4200	0.533333	0.0222222	0	0.377778	0	0	0.0222222	0.0222222
4400	0.564516	0	0	0.322581	0	0	0.0483871	0.0322581
4600	0.574468	0	0	0.382979	0	0	0	0
4800	0.529412	0	0	0.45098	0	0	0.0196078	0
5000	0.538462	0	0	0.384615	0	0	0.025641	0
5200	0.461538	0	0	0.480769	0.0384615	0	0	0
5400	0.47619	0	0	0.5	0	0	0	0
5600	0.574468	0	0	0.404255	0	0	0.0212766	0
5800	0.490566	0	0	0.396226	0.0188679	0	0.0566038	0
6000	0.590909	0	0	0.272727	0	0	0.0909091	0
6200	0.434783	0	0	0.521739	0	0	0	0
6400	0.571429	0.0285714	0	0.257143	0.0285714	0	0.0285714	0
6600	0.666667	0.025641	0	0.282051	0	0	0.025641	0
6800	0.42	0.02	0.04	0.48	0	0	0	0
7000	0.512195	0.0243902	0.0487805	0.390244	0	0	0	0
7200	0.44186	0.0232558	0.0465116	0.465116	0.0232558	0	0	0
7400	0.3125	0.0625	0.0416667	0.541667	0	0	0.0416667	0
7600	0.512821	0	0.128205	0.307692	0.025641	0	0.025641	0
7800	0.459459	0.0810811	0	0.405405	0	0	0.0540541	0
8000	0.607843	0.0392157	0.0196078	0.27451	0.0392157	0	0	0
8200	0.638298	0.0212766	0.0212766	0.234043	0	0	0.0425532	0
8400	0.560976	0.0243902	0.0487805	0.317073	0	0	0.0243902	0
8600	0.375	0.0625	0.0416667	0.395833	0.0208333	0	0.0833333	0
8800	0.6	0.02	0.06	0.24	0.02	0	0.02	0
9000	0.431818	0.0909091	0.0681818	0.295455	0.0227273	0	0.0681818	0
9200	0.428571	0.0238095	0.047619	0.428571	0	0	0.047619	0
9400	0.418182	0.0727273	0.0363636	0.363636	0	0	0.0363636	0
9600	0.37037	0.0185185	0.0740741	0.444444	0	0	0.0185185	0
9800	0.372093	0.0697674	0.0232558	0.395349	0.0465116	0	0.0697674	0
10000	0.45	0.025	0.05	0.325	0.05	0	0.025	0
