#C-B	4_3	6_3	8_3	9_3	12_3	15_3	26_3	30_3	62_3
0	0	0	0	0	0	0	0	0	0
200	0	0.307692	0	0.692308	0	0	0	0	0
400	0	0.828571	0	0.142857	0	0.0285714	0	0	0
600	0.25	0.75	0	0	0	0	0	0	0
800	0	0.842105	0	0.105263	0	0	0.0526316	0	0
1000	0.0714286	0.857143	0	0	0	0	0	0.0714286	0
1200	0.047619	0.809524	0	0.0952381	0.047619	0	0	0	0
1400	0.0384615	0.961538	0	0	0	0	0	0	0
1600	0	0.966667	0	0.0333333	0	0	0	0	0
1800	0.0384615	0.846154	0	0.0769231	0	0	0	0.0384615	0
2000	0.037037	0.888889	0	0.037037	0.037037	0	0	0	0
2200	0	0.952381	0	0.047619	0	0	0	0	0
2400	0	1	0	0	0	0	0	0	0
2600	0.0555556	0.944444	0	0	0	0	0	0	0
2800	0	0.913043	0	0	0	0.0434783	0	0	0
3000	0	1	0	0	0	0	0	0	0
3200	0.1875	0.75	0	0.0625	0	0	0	0	0
3400	0.0833333	0.875	0	0	0.0416667	0	0	0	0
3600	0.047619	0.761905	0	0.0952381	0.047619	0.047619	0	0	0
3800	0.125	0.8125	0	0	0	0	0	0.0625	0
4000	0.214286	0.785714	0	0	0	0	0	0	0
4200	0.0714286	0.857143	0	0	0	0.0714286	0	0	0
4400	0	0.95	0	0	0.05	0	0	0	0
4600	0.111111	0.888889	0	0	0	0	0	0	0
4800	0.153846	0.807692	0	0	0	0	0	0	0.0384615
5000	0.0689655	0.862069	0	0.0344828	0	0	0	0	0.0344828
5200	0.12	0.84	0	0	0	0.04	0	0	0
5400	0.0952381	0.904762	0	0	0	0	0	0	0
5600	0.0769231	0.884615	0	0	0	0.0384615	0	0	0
5800	0	0.888889	0	0	0	0.0555556	0	0	0.0555556
6000	0.0833333	0.916667	0	0	0	0	0	0	0
6200	0	1	0	0	0	0	0	0	0
6400	0.0571429	0.914286	0	0	0.0285714	0	0	0	0
6600	0.0434783	0.913043	0	0	0	0	0	0	0.0434783
6800	0.0833333	0.916667	0	0	0	0	0	0	0
7000	0.142857	0.821429	0	0	0	0.0357143	0	0	0
7200	0.0416667	0.958333	0	0	0	0	0	0	0
7400	0.0526316	0.842105	0	0	0.105263	0	0	0	0
7600	0.0714286	0.857143	0	0	0	0.0714286	0	0	0
7800	0.2	0.8	0	0	0	0	0	0	0
8000	0.12	0.88	0	0	0	0	0	0	0
8200	0.0357143	0.964286	0	0	0	0	0	0	0
8400	0.0526316	0.947368	0	0	0	0	0	0	0
8600	0.08	0.84	0	0	0	0.04	0	0	0.04
8800	0.166667	0.666667	0.0555556	0	0.0555556	0.0555556	0	0	0
9000	0	0.954545	0	0	0	0	0	0	0.0454545
9200	0	1	0	0	0	0	0	0	0
9400	0	0.88	0.08	0.04	0	0	0	0	0
9600	0.115385	0.807692	0.0384615	0	0.0384615	0	0	0	0
9800	0	1	0	0	0	0	0	0	0
10000	0.0454545	0.772727	0.0909091	0	0.0909091	0	0	0	0
