#C-B	1_0	2_0	3_0	5_0	8_0	9_0	11_0	12_0	15_0	28_0	42_0
0	0	0	0	0	0	0	0	0	0	0	0
200	0.482759	0.0517241	0	0.137931	0.0172414	0.0172414	0	0	0	0	0
400	0.542857	0.0571429	0	0.0428571	0.0571429	0.228571	0.0285714	0.0428571	0	0	0
600	0.166667	0.0666667	0.0166667	0.0333333	0.333333	0.183333	0	0.0333333	0.0166667	0	0
800	0.322034	0.0338983	0.0677966	0.0169492	0.118644	0.237288	0.0508475	0.0677966	0.0508475	0	0
1000	0.558824	0.0147059	0.0588235	0.0147059	0.0294118	0.117647	0.0294118	0.0294118	0.117647	0	0
1200	0.636364	0	0.0454545	0.0454545	0.0151515	0.0757576	0.0151515	0.0757576	0.0454545	0	0
1400	0.535714	0	0.107143	0.125	0.0178571	0.125	0.0178571	0.0357143	0	0	0
1600	0.617021	0	0.0851064	0.0212766	0	0.0425532	0.0212766	0.12766	0.0638298	0	0
1800	0.588235	0	0.0980392	0.0392157	0	0.0196078	0	0.137255	0.0196078	0	0
2000	0.473684	0	0.105263	0.0701754	0.0175439	0.0526316	0	0.0701754	0.0877193	0	0
2200	0.644068	0	0.0508475	0.0338983	0	0.101695	0.0338983	0.0508475	0.0677966	0	0
2400	0.584906	0	0.0566038	0.0754717	0.0377358	0.0377358	0.0377358	0.0754717	0.0188679	0	0
2600	0.568182	0	0.0227273	0.0681818	0.0454545	0.0454545	0.0454545	0.0909091	0.0909091	0	0
2800	0.551724	0	0.172414	0.0862069	0.0172414	0	0.0172414	0.0517241	0.0689655	0.0172414	0
3000	0.774194	0	0.0483871	0.0967742	0	0.0322581	0	0	0.0322581	0	0
3200	0.557692	0	0.0384615	0.0769231	0	0	0.0576923	0.0769231	0.153846	0.0192308	0
3400	0.672414	0	0	0.0344828	0	0	0.0689655	0.0862069	0.103448	0	0
3600	0.566667	0	0.0166667	0.05	0	0.0333333	0.0333333	0.2	0.0166667	0.0166667	0
3800	0.6	0	0.0923077	0.0307692	0.0153846	0	0.0615385	0.123077	0.0461538	0.0153846	0
4000	0.625	0	0.0208333	0.0416667	0	0	0.0208333	0.145833	0.125	0	0
4200	0.571429	0	0.0952381	0.0634921	0	0	0	0.126984	0.0793651	0.015873	0
4400	0.529412	0	0.0588235	0.0882353	0.0147059	0	0.0588235	0.0882353	0.132353	0.0147059	0
4600	0.590164	0	0.0655738	0.0819672	0	0	0	0.0983607	0.114754	0.0163934	0
4800	0.69863	0	0.0821918	0.0273973	0	0	0.0547945	0.0136986	0.0684932	0.0136986	0
5000	0.688525	0	0.0819672	0.0491803	0	0	0	0.0655738	0.0819672	0.0163934	0
5200	0.576923	0	0.0384615	0.115385	0	0	0.0384615	0.0384615	0.134615	0	0
5400	0.676471	0	0.0588235	0.0882353	0	0	0.0294118	0.0147059	0.0735294	0.0294118	0.0147059
5600	0.7	0	0.08	0.06	0	0	0.02	0.02	0.1	0	0.02
5800	0.75	0	0.0333333	0.0333333	0	0	0.0333333	0	0.133333	0.0166667	0
6000	0.666667	0	0.0392157	0.0980392	0.0196078	0	0.0196078	0.0392157	0.0588235	0.0196078	0.0196078
6200	0.701754	0	0.0526316	0.0350877	0	0	0.0175439	0.0526316	0.0526316	0	0.0175439
6400	0.518519	0	0.111111	0.0925926	0.0185185	0.0185185	0.0555556	0.0925926	0.0555556	0.0185185	0.0185185
6600	0.679245	0	0.0566038	0.0377358	0.0188679	0	0.0566038	0	0.0566038	0	0.0377358
6800	0.627451	0	0.0784314	0.117647	0.0196078	0	0.0196078	0.0980392	0.0392157	0	0
7000	0.685185	0	0.0740741	0.0925926	0	0.0185185	0	0.0185185	0.037037	0	0
7200	0.616667	0	0.0666667	0.0833333	0	0	0	0.0666667	0.1	0	0.0333333
7400	0.825	0	0.025	0.025	0	0	0	0.025	0.05	0	0
7600	0.644068	0	0.0508475	0.0338983	0	0	0.0677966	0.0677966	0.101695	0	0.0169492
7800	0.708333	0	0.0833333	0.0416667	0	0.0208333	0.0625	0.0416667	0.0208333	0	0
8000	0.711864	0	0.0338983	0	0	0	0.0169492	0.0847458	0.0847458	0.0508475	0
8200	0.576923	0	0.0576923	0.115385	0	0	0	0.115385	0.115385	0	0
8400	0.66	0	0.06	0.06	0	0	0	0.08	0.08	0.02	0.02
8600	0.649123	0	0.0526316	0.0877193	0	0	0.0350877	0.0350877	0.105263	0.0175439	0
8800	0.661538	0	0.0615385	0.153846	0.0153846	0	0.0153846	0.0615385	0.0307692	0	0
9000	0.629032	0	0.0483871	0.0483871	0.0322581	0	0.016129	0.0806452	0.0967742	0	0
9200	0.677966	0	0.0338983	0.0508475	0.0338983	0	0.0169492	0.0338983	0.101695	0	0
9400	0.714286	0	0.047619	0.0793651	0	0	0.015873	0.047619	0.0793651	0	0.015873
9600	0.7	0	0.0833333	0.05	0	0	0.0166667	0.05	0.0666667	0	0
9800	0.625	0	0.125	0.09375	0	0	0.03125	0.03125	0.046875	0	0
10000	0.777778	0	0.0185185	0.0555556	0	0	0.037037	0.037037	0.0740741	0	0
