#C-B	0_0	1_0	2_0	3_0	4_0	5_0	7_0	8_0	9_0	10_0	13_0	21_0	26_0	38_0	40_0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	0.0714286	0	0	0	0.047619	0.452381	0.0238095	0.047619	0.0238095	0	0	0	0	0	0
400	0.0181818	0.0181818	0.0181818	0.0545455	0	0.472727	0.0909091	0.272727	0.0181818	0.0363636	0	0	0	0	0
600	0	0.0882353	0	0	0.0588235	0.264706	0.0294118	0.323529	0	0.0882353	0.0588235	0	0	0	0
800	0	0.0172414	0.0517241	0.103448	0	0.327586	0.0344828	0.275862	0	0.12069	0.0172414	0	0	0	0
1000	0	0.0294118	0.0588235	0.102941	0.0147059	0.426471	0	0.0735294	0.0441176	0.0441176	0.102941	0.0441176	0	0	0
1200	0	0.0392157	0	0.0980392	0	0.686275	0	0.0392157	0.0196078	0.0588235	0.0392157	0.0196078	0	0	0
1400	0	0.0208333	0.0416667	0.145833	0.0208333	0.458333	0	0	0.0625	0.104167	0.0833333	0	0.0208333	0	0
1600	0	0	0.0196078	0.137255	0	0.509804	0.0196078	0.0196078	0.0392157	0.0784314	0.117647	0	0	0	0
1800	0	0	0.0666667	0.0666667	0.0222222	0.666667	0	0.0222222	0.0222222	0.0222222	0.0666667	0	0	0	0
2000	0	0	0.0487805	0.0731707	0.0243902	0.512195	0	0.121951	0.0487805	0.0731707	0.0487805	0	0	0	0
2200	0	0.0175439	0.0175439	0.0701754	0.0350877	0.666667	0.0175439	0.0701754	0.0350877	0.0175439	0.0175439	0	0	0	0
2400	0	0	0.0232558	0.0465116	0.0232558	0.697674	0	0.0697674	0	0.0697674	0.0232558	0	0	0	0
2600	0	0	0.1	0.1	0	0.575	0	0.05	0	0	0.075	0	0.025	0.025	0
2800	0	0	0.0714286	0.0714286	0.0178571	0.607143	0.0357143	0.0178571	0	0.0357143	0.0714286	0	0	0.0357143	0
3000	0	0	0.0645161	0.0806452	0	0.709677	0.016129	0.0322581	0.016129	0.0322581	0.0322581	0	0	0	0
3200	0	0	0.0238095	0.047619	0	0.714286	0.0238095	0	0	0.119048	0.0714286	0	0	0	0
3400	0	0	0.0350877	0.0175439	0.0350877	0.666667	0.0175439	0	0.0350877	0.0877193	0.0701754	0	0	0	0
3600	0	0.0208333	0	0.0416667	0.0208333	0.625	0	0.0625	0.0625	0.0625	0.0208333	0	0.0208333	0.0208333	0
3800	0	0	0.0192308	0.0769231	0.0192308	0.692308	0	0	0.0192308	0.0384615	0.0769231	0	0	0	0
4000	0	0	0.0980392	0.0980392	0.0196078	0.568627	0	0	0	0.0588235	0.0980392	0	0	0	0
4200	0	0	0.0612245	0.0612245	0	0.673469	0	0	0.0408163	0.0408163	0.0612245	0	0	0	0
4400	0	0	0.0196078	0.0784314	0	0.686275	0	0	0.0392157	0.0196078	0.0588235	0.0392157	0.0196078	0	0
4600	0	0	0.0819672	0.0819672	0.0163934	0.557377	0	0.0163934	0	0.0655738	0.0983607	0	0.0163934	0.0163934	0
4800	0	0	0.0327869	0.0327869	0.0163934	0.770492	0	0	0.0163934	0.0163934	0.0983607	0	0	0	0
5000	0	0	0.0222222	0.0666667	0	0.755556	0	0	0.0444444	0.0222222	0.0666667	0	0	0	0
5200	0	0	0.08	0.14	0.02	0.54	0	0	0.06	0.02	0.1	0.02	0	0	0
5400	0	0	0.116667	0.0666667	0	0.666667	0	0.0166667	0.05	0.05	0	0	0	0	0
5600	0	0	0	0.08	0	0.7	0.02	0	0.02	0.08	0.06	0	0	0	0.02
5800	0	0	0.0508475	0.0338983	0	0.79661	0	0	0.0169492	0.0169492	0.0847458	0	0	0	0
6000	0	0	0	0.12	0	0.7	0	0.02	0	0	0.08	0	0.02	0.02	0
6200	0	0	0.0377358	0.0943396	0	0.679245	0	0	0.0188679	0	0.0566038	0	0	0.0377358	0.0188679
6400	0	0.0227273	0.0681818	0.0909091	0	0.5	0.0227273	0.0454545	0.0454545	0.0227273	0.0909091	0	0.0227273	0.0227273	0.0227273
6600	0	0	0.0465116	0.0465116	0	0.674419	0	0	0.0232558	0.0697674	0.0697674	0.0232558	0	0	0
6800	0	0	0	0.0769231	0	0.794872	0	0	0	0.0512821	0.0769231	0	0	0	0
7000	0	0	0.0222222	0	0	0.777778	0	0.0222222	0	0.0222222	0.0888889	0.0222222	0	0	0.0222222
7200	0	0	0.104167	0.0208333	0	0.6875	0	0	0.0416667	0	0.0625	0	0	0.0208333	0.0208333
7400	0	0	0.0392157	0.0588235	0	0.705882	0	0	0	0.0196078	0.0980392	0	0.0196078	0	0.0196078
7600	0	0	0.0535714	0.142857	0	0.625	0	0	0.0178571	0	0.125	0	0	0	0.0178571
7800	0	0	0.0392157	0.0588235	0	0.705882	0	0.0196078	0.0392157	0.0784314	0.0392157	0.0196078	0	0	0
8000	0	0	0.0208333	0.0625	0	0.729167	0	0	0	0.0208333	0.0833333	0	0.0833333	0	0
8200	0	0	0.0238095	0.0952381	0	0.642857	0.0238095	0	0	0.047619	0.0952381	0	0	0	0
8400	0	0	0.0196078	0.0784314	0.0196078	0.647059	0.0196078	0	0.0392157	0.0392157	0.0588235	0	0.0196078	0.0196078	0.0196078
8600	0	0	0.0333333	0.133333	0	0.633333	0	0.0166667	0.0166667	0.0166667	0.116667	0	0.0166667	0	0
8800	0	0	0.0545455	0.0909091	0	0.709091	0.0181818	0	0	0.0363636	0.0545455	0	0	0	0
9000	0	0	0.0816327	0.142857	0	0.632653	0	0	0	0.0408163	0.102041	0	0	0	0
9200	0	0	0.0638298	0.0212766	0	0.787234	0.0212766	0	0.0425532	0.0212766	0.0212766	0	0	0	0
9400	0	0	0.0377358	0.0943396	0	0.754717	0	0.0188679	0	0.0188679	0.0566038	0	0	0	0.0188679
9600	0	0	0.0178571	0.0357143	0	0.732143	0	0	0.0178571	0.0178571	0.125	0.0357143	0	0	0
9800	0	0	0.0681818	0.0227273	0	0.840909	0	0	0.0227273	0.0227273	0.0227273	0	0	0	0
10000	0	0	0.0377358	0.0754717	0	0.679245	0	0	0.0188679	0.0188679	0.0943396	0	0	0.0188679	0
