%LeftIR	RightIR	LeftMotor	RightMotor
3	3	37	39
4	3	38	39
3	3	38	40
3	3	39	40
3	3	39	41
3	3	40	41
3	3	40	41
3	3	41	42
3	2	41	42
3	3	41	42
3	3	42	43
3	3	42	43
3	2	42	43
3	3	42	43
4	2	43	43
3	2	43	44
3	2	43	44
3	2	43	44
3	2	43	44
3	3	43	44
3	3	43	44
3	2	43	44
3	3	43	44
3	2	43	44
3	3	43	45
3	3	44	45
3	3	44	45
2	2	44	45
3	3	44	45
3	3	44	45
3	3	44	45
4	3	44	45
4	3	44	45
3	3	44	45
3	3	44	45
2	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
2	3	44	45
3	2	44	45
2	3	44	45
3	3	44	45
3	3	44	45
3	2	44	45
3	3	44	45
2	2	44	45
3	3	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	3	44	45
2	2	44	45
3	3	44	45
4	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	3	44	45
3	2	44	45
4	2	44	45
4	2	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	3	44	45
3	2	44	45
3	2	44	45
2	2	44	45
3	2	44	45
3	3	44	45
3	3	44	45
3	3	44	45
3	3	44	45
3	3	44	45
3	2	44	45
3	3	44	45
3	2	44	45
3	2	44	45
2	2	44	45
3	2	44	45
2	3	44	45
3	2	44	45
2	2	44	45
3	3	44	45
2	2	44	45
2	2	44	45
3	3	44	45
3	3	44	45
2	3	44	45
3	2	44	45
3	2	44	45
3	3	44	45
3	3	44	45
3	2	44	45
2	3	44	45
3	3	44	45
3	3	44	45
3	3	44	45
3	2	44	45
3	2	44	45
3	2	44	45
4	2	44	45
3	2	44	45
3	3	44	45
3	3	44	45
3	2	44	45
3	3	44	45
3	3	44	45
3	2	44	45
3	2	44	45
3	2	44	45
2	3	44	45
3	3	44	45
3	2	44	45
3	3	44	45
3	2	44	45
3	2	44	45
3	2	44	45
3	3	44	45
3	3	44	45
3	3	44	45
3	3	44	45
4	2	44	45
5	2	44	45
5	3	44	45
7	3	44	45
8	2	43	46
14	3	43	46
19	3	42	47
28	3	41	48
40	2	40	49
50	3	39	50
57	3	38	51
61	3	38	51
65	3	37	52
62	2	36	53
58	2	36	53
56	2	35	54
55	3	35	54
54	3	34	55
49	3	34	55
49	3	34	55
49	2	33	56
49	2	33	56
48	3	33	56
46	3	32	57
45	3	32	57
47	2	32	57
46	2	32	57
45	3	31	58
44	3	31	58
41	3	31	58
40	2	31	58
39	2	31	58
43	2	31	58
40	2	31	58
40	2	31	58
38	3	31	58
42	2	30	59
41	3	30	59
40	2	30	59
40	3	30	59
40	3	30	59
41	2	30	59
41	2	30	59
41	3	30	59
41	3	30	59
43	4	30	59
43	7	30	59
42	10	30	59
44	13	30	59
42	20	30	59
42	25	30	59
41	37	31	58
40	48	32	57
37	60	34	55
36	68	36	53
37	79	38	51
37	90	40	49
33	100	42	47
34	103	44	45
33	107	45	44
34	112	46	43
35	113	47	42
34	116	48	41
36	118	49	40
33	121	49	40
33	124	50	39
30	131	50	39
31	129	50	39
32	131	51	38
35	134	51	38
33	135	51	38
34	133	51	38
37	136	51	38
40	139	52	37
38	141	52	37
41	139	52	37
43	140	52	37
44	142	52	37
46	143	52	37
46	141	52	37
49	143	52	37
53	140	52	37
54	143	53	36
55	142	53	36
60	140	53	36
61	138	53	36
64	139	53	36
66	142	54	35
75	140	54	35
78	131	54	35
83	133	55	34
92	133	55	34
96	133	55	34
107	126	56	33
116	119	56	33
125	109	55	34
136	103	53	36
147	92	51	38
154	80	49	40
159	68	47	42
165	60	46	43
164	48	45	44
166	38	44	45
167	30	44	45
159	24	43	46
157	19	43	46
158	15	43	46
163	12	43	46
164	10	42	47
166	8	42	47
167	7	42	47
168	7	42	47
165	5	42	47
163	4	42	47
156	3	42	47
152	3	42	47
143	3	42	47
136	3	42	47
127	3	41	48
122	3	41	48
116	3	41	48
115	3	41	48
105	3	40	49
105	3	40	49
111	3	40	49
122	3	39	50
127	3	39	50
133	3	39	50
125	2	39	50
127	3	39	50
127	3	39	50
126	3	39	50
121	3	39	50
120	3	39	50
126	2	39	50
136	3	39	50
150	2	39	50
159	3	39	50
167	2	39	50
172	3	40	49
176	3	40	49
179	3	40	49
182	3	40	49
171	2	41	48
144	3	41	48
115	3	41	48
89	2	40	49
70	2	40	49
59	3	39	50
52	3	38	51
51	2	37	52
55	2	37	52
55	3	36	53
55	2	35	54
56	2	35	54
56	3	35	54
57	3	34	55
57	3	34	55
56	2	33	56
54	2	33	56
54	3	33	56
51	3	33	56
50	3	32	57
47	3	32	57
46	3	32	57
43	3	32	57
43	3	31	58
41	3	31	58
42	3	31	58
43	4	31	58
42	4	31	58
40	5	31	58
42	6	31	58
42	6	31	58
42	6	31	58
42	7	30	59
40	9	30	59
40	10	30	59
40	13	30	59
42	16	30	59
44	18	30	59
42	19	31	58
41	22	31	58
